Datetime,AAPL,IBM,MSFT,TSLA
2024-09-12 09:30:00-04:00,221.67999267578125,209.8000030517578,422.7900085449219,224.6156005859375
2024-09-12 09:31:00-04:00,221.67990112304688,210.07000732421875,421.5,225.49000549316406
2024-09-12 09:32:00-04:00,221.8699951171875,,420.92498779296875,227.10000610351562
2024-09-12 09:33:00-04:00,221.98500061035156,210.22500610351562,422.2550048828125,228.6649932861328
2024-09-12 09:34:00-04:00,221.64999389648438,210.0749969482422,422.4800109863281,228.9105987548828
2024-09-12 09:35:00-04:00,221.30999755859375,210.02999877929688,422.04998779296875,229.56719970703125
2024-09-12 09:36:00-04:00,221.11000061035156,209.8300018310547,422.5375061035156,229.57000732421875
2024-09-12 09:37:00-04:00,221.60000610351562,210.0,422.70001220703125,229.9250030517578
2024-09-12 09:38:00-04:00,221.4199981689453,209.4199981689453,422.2900085449219,230.1741943359375
2024-09-12 09:39:00-04:00,220.90499877929688,209.49600219726562,421.6700134277344,229.28500366210938
2024-09-12 09:40:00-04:00,221.3000030517578,209.24000549316406,421.8699951171875,230.5200958251953
2024-09-12 09:41:00-04:00,221.04989624023438,208.69000244140625,421.385009765625,230.62669372558594
2024-09-12 09:42:00-04:00,221.2100067138672,208.60000610351562,421.739990234375,231.2899932861328
2024-09-12 09:43:00-04:00,220.80999755859375,209.05999755859375,421.5400085449219,230.3155975341797
2024-09-12 09:44:00-04:00,221.0500030517578,208.77999877929688,421.5950012207031,230.33990478515625
2024-09-12 09:45:00-04:00,221.03970336914062,208.76930236816406,421.75,230.2397003173828
2024-09-12 09:46:00-04:00,220.71719360351562,208.9550018310547,421.0799865722656,229.11000061035156
2024-09-12 09:47:00-04:00,,208.93649291992188,,
2024-09-12 09:48:00-04:00,220.5500030517578,208.85000610351562,420.95001220703125,228.6898956298828
2024-09-12 09:49:00-04:00,220.00999450683594,208.3800048828125,420.5249938964844,227.96670532226562
2024-09-12 09:50:00-04:00,219.97000122070312,208.5,420.1499938964844,227.39529418945312
2024-09-12 09:51:00-04:00,220.44000244140625,208.75489807128906,420.7900085449219,227.727294921875
2024-09-12 09:52:00-04:00,220.47669982910156,208.88499450683594,421.2699890136719,228.2200927734375
2024-09-12 09:53:00-04:00,220.75999450683594,208.9949951171875,421.20001220703125,229.24070739746094
2024-09-12 09:54:00-04:00,220.85000610351562,209.17999267578125,421.5899963378906,230.13999938964844
2024-09-12 09:55:00-04:00,220.50999450683594,209.4199981689453,420.8800048828125,230.47000122070312
2024-09-12 09:56:00-04:00,220.83999633789062,209.5850067138672,420.8999938964844,230.4196014404297
2024-09-12 09:57:00-04:00,220.8699951171875,209.4499969482422,420.95001220703125,229.91000366210938
2024-09-12 09:58:00-04:00,220.82000732421875,209.55999755859375,420.9100036621094,229.52000427246094
2024-09-12 09:59:00-04:00,221.02999877929688,209.58999633789062,421.07000732421875,229.94000244140625
2024-09-12 10:00:00-04:00,221.16990661621094,209.63999938964844,420.92999267578125,229.8699951171875
2024-09-12 10:01:00-04:00,221.27999877929688,209.5449981689453,420.739990234375,230.22999572753906
2024-09-12 10:02:00-04:00,221.3699951171875,209.63999938964844,421.20001220703125,229.54029846191406
2024-09-12 10:03:00-04:00,221.4499053955078,209.63499450683594,421.4549865722656,229.84829711914062
2024-09-12 10:04:00-04:00,221.28179931640625,209.61500549316406,420.9324951171875,228.6999969482422
2024-09-12 10:05:00-04:00,221.4600067138672,209.75,420.9100036621094,228.19610595703125
2024-09-12 10:06:00-04:00,221.61000061035156,209.68499755859375,420.82000732421875,228.19000244140625
2024-09-12 10:07:00-04:00,221.5399932861328,209.59500122070312,420.7300109863281,228.02000427246094
2024-09-12 10:08:00-04:00,221.5399932861328,209.75,420.6499938964844,227.91000366210938
2024-09-12 10:09:00-04:00,221.50010681152344,209.7100067138672,420.8245849609375,227.9949951171875
2024-09-12 10:10:00-04:00,221.57870483398438,210.2100067138672,421.0400085449219,228.05499267578125
2024-09-12 10:11:00-04:00,221.5299072265625,210.23410034179688,421.0400085449219,228.21839904785156
2024-09-12 10:12:00-04:00,221.66000366210938,210.26963806152344,421.5450134277344,229.28909301757812
2024-09-12 10:13:00-04:00,221.73890686035156,210.3800048828125,421.8599853515625,229.82000732421875
2024-09-12 10:14:00-04:00,221.93499755859375,210.50999450683594,422.2257995605469,229.64500427246094
2024-09-12 10:15:00-04:00,222.0399932861328,210.55999755859375,422.19000244140625,229.75999450683594
2024-09-12 10:16:00-04:00,222.0998992919922,210.7449951171875,422.2300109863281,230.0399932861328
2024-09-12 10:17:00-04:00,,210.74020385742188,422.7799987792969,230.42649841308594
2024-09-12 10:18:00-04:00,222.25999450683594,210.86500549316406,422.7900085449219,230.08619689941406
2024-09-12 10:19:00-04:00,222.24000549316406,210.83999633789062,422.68011474609375,229.75
2024-09-12 10:20:00-04:00,222.32000732421875,210.75,422.6600036621094,230.1199951171875
2024-09-12 10:21:00-04:00,222.28419494628906,210.65179443359375,422.3900146484375,229.97999572753906
2024-09-12 10:22:00-04:00,222.1699981689453,210.6750030517578,422.29998779296875,229.6667938232422
2024-09-12 10:23:00-04:00,222.1699981689453,210.5449981689453,422.05999755859375,229.22000122070312
2024-09-12 10:24:00-04:00,222.18499755859375,210.53500366210938,421.7300109863281,228.8227996826172
2024-09-12 10:25:00-04:00,222.1959991455078,210.61500549316406,421.7799987792969,228.75999450683594
2024-09-12 10:26:00-04:00,222.25999450683594,210.4949951171875,422.1300048828125,228.89340209960938
2024-09-12 10:27:00-04:00,222.05999755859375,210.3925018310547,421.67999267578125,229.27999877929688
2024-09-12 10:28:00-04:00,222.13499450683594,210.41000366210938,421.9100036621094,229.69000244140625
2024-09-12 10:29:00-04:00,222.07000732421875,210.0850067138672,421.5799865722656,229.39999389648438
2024-09-12 10:30:00-04:00,222.0399932861328,210.07000732421875,421.6400146484375,229.70199584960938
2024-09-12 10:31:00-04:00,222.0800018310547,210.00999450683594,421.6195068359375,229.28329467773438
2024-09-12 10:32:00-04:00,222.10000610351562,209.92999267578125,421.7799987792969,229.1199951171875
2024-09-12 10:33:00-04:00,222.18690490722656,209.6999969482422,421.8999938964844,229.1540069580078
2024-09-12 10:34:00-04:00,222.27999877929688,209.75999450683594,422.1099853515625,228.98500061035156
2024-09-12 10:35:00-04:00,221.44000244140625,209.59500122070312,420.6191101074219,227.21969604492188
2024-09-12 10:36:00-04:00,221.47000122070312,209.5601043701172,420.6499938964844,226.73240661621094
2024-09-12 10:37:00-04:00,221.7100067138672,209.5,421.010009765625,227.31500244140625
2024-09-12 10:38:00-04:00,221.6999969482422,209.48500061035156,421.42498779296875,227.72889709472656
2024-09-12 10:39:00-04:00,221.52999877929688,209.4499969482422,421.04998779296875,227.27999877929688
2024-09-12 10:40:00-04:00,221.75,209.36000061035156,421.3399963378906,227.6280059814453
2024-09-12 10:41:00-04:00,221.55999755859375,209.24000549316406,420.9798889160156,227.3000030517578
2024-09-12 10:42:00-04:00,221.75,209.39999389648438,421.0350036621094,227.92010498046875
2024-09-12 10:43:00-04:00,221.88169860839844,209.1699981689453,421.1499938964844,227.96009826660156
2024-09-12 10:44:00-04:00,221.84500122070312,209.11000061035156,421.04998779296875,227.94000244140625
2024-09-12 10:45:00-04:00,221.99000549316406,209.1300048828125,421.1099853515625,227.48699951171875
2024-09-12 10:46:00-04:00,221.9499969482422,209.32000732421875,421.07000732421875,226.97000122070312
2024-09-12 10:47:00-04:00,222.0399932861328,209.43499755859375,421.04998779296875,227.00010681152344
2024-09-12 10:48:00-04:00,221.97999572753906,209.52000427246094,421.0249938964844,226.8000030517578
2024-09-12 10:49:00-04:00,222.04879760742188,209.46749877929688,421.3999938964844,227.24000549316406
2024-09-12 10:50:00-04:00,222.1699981689453,209.4949951171875,421.4049987792969,227.54359436035156
2024-09-12 10:51:00-04:00,222.0749969482422,209.47999572753906,421.364990234375,227.37440490722656
2024-09-12 10:52:00-04:00,222.0800018310547,209.4199981689453,421.364990234375,227.5301055908203
2024-09-12 10:53:00-04:00,222.00999450683594,,421.0299987792969,227.6790008544922
2024-09-12 10:54:00-04:00,222.03799438476562,209.29010009765625,421.4800109863281,227.8498992919922
2024-09-12 10:55:00-04:00,222.16000366210938,209.36000061035156,421.614990234375,228.55999755859375
2024-09-12 10:56:00-04:00,221.94000244140625,209.63999938964844,421.29998779296875,228.08680725097656
2024-09-12 10:57:00-04:00,221.8000030517578,209.5,420.8399963378906,227.4700927734375
2024-09-12 10:58:00-04:00,221.91000366210938,209.58999633789062,420.7699890136719,227.63999938964844
2024-09-12 10:59:00-04:00,221.8000030517578,209.58999633789062,420.239990234375,227.3000030517578
2024-09-12 11:00:00-04:00,221.76390075683594,209.5800018310547,420.0400085449219,227.24989318847656
2024-09-12 11:01:00-04:00,221.94000244140625,209.89999389648438,420.7449951171875,227.85000610351562
2024-09-12 11:02:00-04:00,222.08999633789062,209.875,420.7300109863281,227.85479736328125
2024-09-12 11:03:00-04:00,222.28500366210938,209.9499969482422,420.67999267578125,228.25999450683594
2024-09-12 11:04:00-04:00,222.17999267578125,210.0,420.8550109863281,228.35000610351562
2024-09-12 11:05:00-04:00,222.32000732421875,209.8800048828125,421.20001220703125,228.59500122070312
2024-09-12 11:06:00-04:00,222.49000549316406,209.83999633789062,421.2799987792969,228.5
2024-09-12 11:07:00-04:00,222.5500030517578,209.85499572753906,421.3299865722656,228.36819458007812
2024-09-12 11:08:00-04:00,222.8350067138672,209.91000366210938,,
2024-09-12 11:09:00-04:00,222.86500549316406,209.94500732421875,421.2149963378906,228.38999938964844
2024-09-12 11:10:00-04:00,222.8800048828125,209.85650634765625,421.1700134277344,228.39990234375
2024-09-12 11:11:00-04:00,222.9250030517578,209.9199981689453,421.42999267578125,229.1750030517578
2024-09-12 11:12:00-04:00,222.8665008544922,,421.3999938964844,229.6699981689453
2024-09-12 11:13:00-04:00,222.9600067138672,210.1999053955078,421.7799987792969,230.1199951171875
2024-09-12 11:14:00-04:00,222.72999572753906,210.1699981689453,421.67999267578125,229.99180603027344
2024-09-12 11:15:00-04:00,222.14999389648438,210.10000610351562,420.8349914550781,228.9918975830078
2024-09-12 11:16:00-04:00,222.1699981689453,210.07000732421875,420.79998779296875,229.34719848632812
2024-09-12 11:17:00-04:00,222.06500244140625,210.08999633789062,420.80999755859375,229.19009399414062
2024-09-12 11:18:00-04:00,222.0,210.0500030517578,420.75,229.0
2024-09-12 11:19:00-04:00,222.11000061035156,210.09500122070312,420.8450012207031,229.00999450683594
2024-09-12 11:20:00-04:00,222.08999633789062,210.13499450683594,420.739990234375,229.00999450683594
2024-09-12 11:21:00-04:00,222.0500030517578,210.1699981689453,420.9700012207031,229.1999053955078
2024-09-12 11:22:00-04:00,221.90989685058594,210.24000549316406,420.6700134277344,228.71499633789062
2024-09-12 11:23:00-04:00,222.00999450683594,210.16000366210938,420.510009765625,228.4250946044922
2024-09-12 11:24:00-04:00,221.96009826660156,210.22999572753906,420.55999755859375,228.66990661621094
2024-09-12 11:25:00-04:00,221.94430541992188,210.25950622558594,420.6600036621094,228.60000610351562
2024-09-12 11:26:00-04:00,221.89999389648438,210.14500427246094,420.6300048828125,228.3385009765625
2024-09-12 11:27:00-04:00,222.13999938964844,209.97000122070312,,
2024-09-12 11:28:00-04:00,222.0850067138672,209.89500427246094,420.8800048828125,228.37989807128906
2024-09-12 11:29:00-04:00,221.89999389648438,210.0,420.5299987792969,228.1300048828125
2024-09-12 11:30:00-04:00,221.88999938964844,210.0399932861328,420.5950012207031,228.02749633789062
2024-09-12 11:31:00-04:00,222.14999389648438,209.9801025390625,420.7099914550781,228.18099975585938
2024-09-12 11:32:00-04:00,222.36000061035156,209.97000122070312,420.7250061035156,228.36000061035156
2024-09-12 11:33:00-04:00,222.2899932861328,210.10000610351562,420.8699951171875,228.1392059326172
2024-09-12 11:34:00-04:00,222.27000427246094,210.05999755859375,420.7550048828125,227.91000366210938
2024-09-12 11:35:00-04:00,222.48880004882812,210.24000549316406,420.7900085449219,228.0
2024-09-12 11:36:00-04:00,222.26499938964844,210.3300018310547,420.7550048828125,228.08279418945312
2024-09-12 11:37:00-04:00,222.18499755859375,210.33999633789062,420.9100036621094,228.24000549316406
2024-09-12 11:38:00-04:00,222.1199951171875,210.3350067138672,420.4599914550781,228.02999877929688
2024-09-12 11:39:00-04:00,222.1699981689453,210.3800048828125,420.3800048828125,227.5850067138672
2024-09-12 11:40:00-04:00,222.1300048828125,210.47500610351562,420.489990234375,227.72230529785156
2024-09-12 11:41:00-04:00,222.25,210.5399932861328,420.70001220703125,227.93679809570312
2024-09-12 11:42:00-04:00,222.1385040283203,210.5050048828125,420.3999938964844,227.4622039794922
2024-09-12 11:43:00-04:00,221.97999572753906,210.17999267578125,420.0899963378906,227.2698974609375
2024-09-12 11:44:00-04:00,221.97999572753906,210.1999969482422,420.28570556640625,227.3000030517578
2024-09-12 11:45:00-04:00,221.99000549316406,210.22999572753906,420.260009765625,227.16949462890625
2024-09-12 11:46:00-04:00,221.8300018310547,210.1999969482422,420.125,226.75
2024-09-12 11:47:00-04:00,221.89999389648438,210.1925048828125,420.2200012207031,226.83999633789062
2024-09-12 11:48:00-04:00,221.8800048828125,210.19000244140625,420.2349853515625,226.77000427246094
2024-09-12 11:49:00-04:00,221.94000244140625,210.13999938964844,420.239990234375,226.86500549316406
2024-09-12 11:50:00-04:00,222.00010681152344,210.00999450683594,420.19000244140625,226.92999267578125
2024-09-12 11:51:00-04:00,221.99000549316406,210.11000061035156,420.32000732421875,227.1999969482422
2024-09-12 11:52:00-04:00,222.07000732421875,209.95249938964844,420.54998779296875,227.60000610351562
2024-09-12 11:53:00-04:00,221.97000122070312,209.92999267578125,420.1549987792969,227.38999938964844
2024-09-12 11:54:00-04:00,222.07989501953125,209.97500610351562,420.1099853515625,227.36000061035156
2024-09-12 11:55:00-04:00,222.07000732421875,210.10000610351562,420.0224914550781,227.28990173339844
2024-09-12 11:56:00-04:00,222.08999633789062,210.24000549316406,420.17999267578125,227.3000030517578
2024-09-12 11:57:00-04:00,221.96359252929688,210.25999450683594,419.9700012207031,226.97000122070312
2024-09-12 11:58:00-04:00,221.9801025390625,210.22999572753906,419.9599914550781,226.98500061035156
2024-09-12 11:59:00-04:00,221.97500610351562,210.25,420.0199890136719,227.14999389648438
2024-09-12 12:00:00-04:00,221.99000549316406,210.1699981689453,419.82440185546875,227.30569458007812
2024-09-12 12:01:00-04:00,221.92979431152344,210.2050018310547,419.8349914550781,227.6201934814453
2024-09-12 12:02:00-04:00,222.02000427246094,210.28500366210938,420.135009765625,228.10000610351562
2024-09-12 12:03:00-04:00,222.0836944580078,210.30999755859375,420.0950012207031,228.2310028076172
2024-09-12 12:04:00-04:00,222.11000061035156,210.4600067138672,420.3599853515625,228.2449951171875
2024-09-12 12:05:00-04:00,222.08999633789062,210.30499267578125,420.2900085449219,228.13499450683594
2024-09-12 12:06:00-04:00,222.19000244140625,210.28480529785156,420.3004150390625,228.42889404296875
2024-09-12 12:07:00-04:00,221.94200134277344,210.1999969482422,419.9849853515625,228.17999267578125
2024-09-12 12:08:00-04:00,221.94000244140625,210.17999267578125,420.0899963378906,228.17990112304688
2024-09-12 12:09:00-04:00,222.0,210.24000549316406,420.0400085449219,228.1999969482422
2024-09-12 12:10:00-04:00,222.0,210.24000549316406,420.2699890136719,228.21009826660156
2024-09-12 12:11:00-04:00,222.06500244140625,,420.17999267578125,228.73500061035156
2024-09-12 12:12:00-04:00,222.02960205078125,210.30999755859375,420.3500061035156,228.74009704589844
2024-09-12 12:13:00-04:00,221.97500610351562,210.2449951171875,420.239990234375,228.4801025390625
2024-09-12 12:14:00-04:00,221.97999572753906,210.2866973876953,420.489990234375,228.75999450683594
2024-09-12 12:15:00-04:00,221.9199981689453,210.27499389648438,420.5376892089844,228.75
2024-09-12 12:16:00-04:00,221.75999450683594,210.39999389648438,420.3699951171875,228.7100067138672
2024-09-12 12:17:00-04:00,221.72999572753906,210.27000427246094,420.3699951171875,228.75
2024-09-12 12:18:00-04:00,221.6999969482422,210.27999877929688,420.4049987792969,228.66000366210938
2024-09-12 12:19:00-04:00,221.74000549316406,210.35000610351562,420.45001220703125,228.6186065673828
2024-09-12 12:20:00-04:00,221.69459533691406,210.375,420.5249938964844,228.51840209960938
2024-09-12 12:21:00-04:00,221.72999572753906,210.5,420.8949890136719,228.83009338378906
2024-09-12 12:22:00-04:00,221.75,210.4550018310547,420.9200134277344,228.77999877929688
2024-09-12 12:23:00-04:00,221.75999450683594,210.39500427246094,420.6199951171875,228.6300048828125
2024-09-12 12:24:00-04:00,221.80999755859375,210.3249969482422,420.5899963378906,228.55999755859375
